id_unidad,clues,clave_presupuestal,nombre_corto,derechohabientes_primer_nivel,derechohabientes_segundo_nivel,derechohabientes_tercer_nivel
U_ISSSTE_91,CLIST000106,005-221-00,CMF Saltillo,"93,277",No aplica,No aplica
U_ISSSTE_92,CMIST000010,006-204-00,"CH Dr. Miguel Trejo Ochoa, Colima","68,125","79,843",No aplica
U_ISSSTE_93,CMIST000046,006-204-01,CAF Armería,"1,539",No aplica,No aplica
U_ISSSTE_94,CMIST000051,006-204-02,CAF Minatitlán,386,No aplica,No aplica
U_ISSSTE_95,CMIST000034,006-204-03,UMF Tecomán,"6,521",No aplica,No aplica
U_ISSSTE_96,CMIST000022,006-205-00,CH Manzanillo,"16,662","17,693",No aplica
U_ISSSTE_97,CSIST000251,007-204-00,"HG Dr. Belisario Domínguez, Tuxtla Gutiérrez.",No aplica,"225,072",No aplica
U_ISSSTE_98,CSIST000210,007-205-00,"CH Dr. Roberto Nettel F., Tapachula","60,496","88,804",No aplica
U_ISSSTE_99,CSIST000041,007-205-01,UMF Cacahoatán,"6,237",No aplica,No aplica
U_ISSSTE_100,CSIST000205,007-205-02,UMF Cd. Hidalgo,"1,235",No aplica,No aplica
U_ISSSTE_101,CSIST000106,007-205-03,UMF Huixtla,"6,881",No aplica,No aplica
U_ISSSTE_102,CSIST000123,007-205-04,UMF Mapastepec,"1,781",No aplica,No aplica
U_ISSSTE_103,CSIST000135,007-205-05,UMF Motozintla de Mendoza,"6,925",No aplica,No aplica
U_ISSSTE_104,CSIST000012,007-205-06,UMF Acapetahua,"3,214",No aplica,No aplica
U_ISSSTE_105,CSIST000403,007-205-07,CAF Pijijiapan,"2,035",No aplica,No aplica
U_ISSSTE_106,CSIST000193,007-206-00,CH San Cristóbal de las Casas,"61,863","76,441",No aplica
U_ISSSTE_107,CSIST000140,007-206-01,UMF Ocosingo,"14,139",No aplica,No aplica
U_ISSSTE_108,CSIST000275,007-206-03,UMF Yajalón,"10,748",No aplica,No aplica
U_ISSSTE_109,CSIST000181,007-206-04,UMF Salto de Agua,"2,305",No aplica,No aplica
U_ISSSTE_110,CSIST000350,007-206-05,CAF Altamirano,439,No aplica,No aplica
U_ISSSTE_111,CSIST000065,007-207-00,CH Comitán de Domínguez,"34,729","44,308",No aplica
U_ISSSTE_112,CSIST000094,007-207-01,UMF Frontera Comalapa,"4,830",No aplica,No aplica
U_ISSSTE_113,CSIST000391,007-207-02,UMF Las Margaritas,"4,749",No aplica,No aplica
U_ISSSTE_114,CSIST000246,007-208-00,CMF Tuxtla Gutiérrez,"140,547",No aplica,No aplica
U_ISSSTE_115,CSIST000024,007-208-01,UMF Arriaga,"4,981",No aplica,No aplica
