id_unidad,clues,clave_presupuestal,nombre_corto,consultorio_medicina_general_o_familiar,consultorio_especialidad,consultorio_odontologia,consultorio_urgencias,consultorio_otros,consultorio_total,laboratorio_analisis_clinicos,laboratorio_areas_criticas,laboratorio_central,laboratorio_patologico,laboratorio_pruebas_especiales,laboratorio_urgencias,laboratorio_total,sala_urgencias,sala_expulsion,sala_dialisis,sala_hemodialisis,sala_cuidados_intensivos,sala_unidad_de_quemados,sala_patologia,sala_hemodinamia,sala_quimioterapia,sala_total,banco_leche,banco_sangre,quirofano,farmacia,stock_farmacia
U_ISSSTE_101,CSIST000106,007-205-03,UMF Huixtla,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_102,CSIST000123,007-205-04,UMF Mapastepec,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_103,CSIST000135,007-205-05,UMF Motozintla de Mendoza,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_104,CSIST000012,007-205-06,UMF Acapetahua,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_105,CSIST000403,007-205-07,CAF Pijijiapan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_106,CSIST000193,007-206-00,CH San Cristóbal de las Casas,5,6,1,1,1,14,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
U_ISSSTE_107,CSIST000140,007-206-01,UMF Ocosingo,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_ISSSTE_108,CSIST000275,007-206-03,UMF Yajalón,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_109,CSIST000181,007-206-04,UMF Salto de Agua,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_110,CSIST000350,007-206-05,CAF Altamirano,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_111,CSIST000065,007-207-00,CH Comitán de Domínguez,2,8,1,1,1,13,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,1,0
U_ISSSTE_112,CSIST000094,007-207-01,UMF Frontera Comalapa,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_113,CSIST000391,007-207-02,UMF Las Margaritas,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_114,CSIST000246,007-208-00,CMF Tuxtla Gutiérrez,14,1,2,0,2,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_ISSSTE_115,CSIST000024,007-208-01,UMF Arriaga,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_116,CSIST000036,007-208-02,UMF Bochil,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_117,CSIST000053,007-208-03,UMF Cintalapa de Figueroa,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_118,CSIST000070,007-208-05,UMF Copainalá,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_119,CSIST000082,007-208-06,UMF Chiapa de Corzo,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_120,CSIST000111,007-208-08,UMF Jiquipilas,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_121,CSIST000152,007-208-09,UMF Ocozocoautla de Espinosa,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_122,CSIST000176,007-208-11,UMF Pichucalco,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_123,CSIST000222,007-208-16,UMF Tapilula,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_124,CSIST000234,007-208-17,UMF Tonalá,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_125,CSIST000304,007-208-18,CAF Venustiano Carranza,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_126,CSIST000263,007-208-20,UMF Villa Flores,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
U_ISSSTE_127,CSIST000432,007-208-22,CMCT Palacio Federal (Tuxtla Gutiérrez),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_128,CSIST000444,007-208-23,CMCT SAGARPA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_129,CSIST000456,007-208-24,CMCT Bienestar,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_130,CSIST000461,007-208-25,CMCT SECH (SEF),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_131,CSIST000321,007-208-26,CAF Reforma,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_132,CSIST000473,007-208-28,CAF UH. FOVISSSTE Paraíso,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_133,CSIST000420,007-208-30,CAF Simojovel,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_134,CSIST000362,007-208-32,CAF Berriozábal,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_135,CSIST000490,007-208-33,CAF Villa Corzo,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_136,CSIST000514,007-211-00,CH Palenque ,2,4,1,3,6,16,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,2,0,0,1,1,0
U_ISSSTE_137,CHIST000030,008-204-00,"HG Presidente Gral. Lázaro Cárdenas, Chihuahua",0,21,0,4,7,32,1,0,0,0,0,1,2,0,1,0,1,1,0,1,0,1,5,0,1,3,1,1
U_ISSSTE_138,CHIST000310,008-204-01,CAF Dr. Belisario Domínguez,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_139,CHIST000182,008-204-04,CAF Villa Aldama,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_140,CHIST000153,008-204-08,UMF Ojinaga,2,0,1,1,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_ISSSTE_141,CHIST000112,008-205-00,HG Cd. Juárez,0,17,0,3,3,23,1,0,0,0,0,0,1,2,1,1,1,2,0,1,0,1,9,0,1,2,1,1
U_ISSSTE_142,CHIST000515,008-206-00,CH Cd. Delicias,0,3,0,0,3,6,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
