id_unidad,clues,clave_presupuestal,nombre_corto,camas_censables_adultos_cirugia,camas_censables_adultos_medicina_interna,camas_censables_adultos_gineco_obstetricia,camas_censables_adultos_total,camas_censables_pediatria_camas,camas_censables_pediatria_cunas,camas_censables_pediatria_incubadoras,camas_censables_pediatria_total,camas_censables_total,camas_transito_urgencias_adultos,camas_transito_urgencias_pediatria,camas_transito_trabajo_de_parto,camas_transito_cuidados_intensivos,camas_transito_recuperacion,camas_transito_cunas,camas_transito_otras,camas_transito_total
U_ISSSTE_654,OCIST000153,020-209-11,UMF Telixtlahuaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_655,OCIST000573,020-209-12,CAF Tlacolula de Matamoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_656,OCIST000013,020-209-14,UMF Asunción Nochixtlán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_657,OCIST000614,020-209-17,CAF Tamazulápam del Espíritu Santo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_658,OCIST000240,020-210-00,CH Pinotepa Nacional,3,1,1,5,1,0,0,1,6,1,1,0,0,1,0,0,3
U_ISSSTE_659,PENDIENTE,020-210-01,CAF Cacahuatepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_660,OCIST000235,020-211-00,CMFEQ Tlaxiaco,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
U_ISSSTE_661,OCIST000310,020-211-01,CAF Chalcatongo de Hidalgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_662,PLIST000014,021-205-00,CMF Acatlán de Osorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_663,PLIST000026,021-206-00,CMF Atlixco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_664,PLIST000253,021-206-01,CAF Estación Atencingo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_665,PLIST000241,021-206-02,UMF Chiautla de Tapia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_666,PLIST000096,021-206-03,UMF Izúcar de Matamoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_667,PLIST000072,021-207-00,CH Huauchinango,3,2,2,7,1,0,0,1,8,4,0,1,0,2,0,5,12
U_ISSSTE_668,PLIST000311,021-207-01,CAF Pahuatlán del Valle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_669,PLIST000195,021-207-02,UMF Xicotepec de Juárez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_670,PLIST000055,021-207-03,UMF Chignahuapan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_671,PLIST000393,021-207-04,CAF Tetela de Ocampo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_672,PLIST000200,021-207-05,UMF Zacatlán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_673,PLIST000154,021-208-00,CH Tehuacán,4,4,3,11,4,0,0,4,15,2,0,0,0,0,0,0,2
U_ISSSTE_674,PLIST000043,021-208-01,UMF Cd. Serdán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_675,PLIST000060,021-208-02,UMF Esperanza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_676,PLIST000270,021-208-05,CAF Guadalupe Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_677,PLIST000125,021-209-00,CMF San Martín Texmelucan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_678,PLIST000282,021-209-01,CAF Huejotzingo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_679,PLIST000171,021-210-00,CH Teziutlán,6,7,4,17,1,0,0,1,18,5,1,2,0,2,0,1,11
U_ISSSTE_680,PLIST000031,021-210-01,UMF Cuetzalan del Progreso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_681,PLIST000183,021-210-04,UMF Tlatlauquitepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_682,PLIST000422,021-210-06,CAF Zacapoaxtla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_683,PLIST000460,021-210-07,UMF Zaragoza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_684,PLIST000480,021-210-11,CAF Huehuetla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_685,PLIST000212,021-214-00,CMFEQ Puebla,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
U_ISSSTE_686,PLIST000381,021-214-04,CAF Villa Rafael Lara Grajales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_687,PLIST000306,021-214-05,CAF Libres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_688,PLIST000084,021-214-06,UMF San Juan Ixcaquixtla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_689,PLIST000142,021-214-07,UMF Tecamachalco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_690,PLIST000166,021-214-08,UMF Tepeaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_691,PLIST000224,021-214-11,CAF Acatzingo de Hidalgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_692,PLIST000130,021-214-12,UMF Cholula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_693,PLIST000113,021-214-13,UMF Col. Magisterial Federal México 68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_694,PLIST000323,021-214-14,CAF UH. FOVISSSTE San Roque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
