id_unidad,clues,clave_presupuestal,nombre_corto,personal_medico_general_familiar,personal_medico_gineco_obstetra,personal_medico_pediatra,personal_medico_odontologo,personal_medico_cirujano,personal_medico_internista,personal_medico_anestesiologo,personal_medico_geriatra,personal_medico_oncologos,personal_medico_traumatologia_y_ortopedia,personal_medico_otras_especialidades,personal_medico_otras_labores,personal_medico_etapa_aprendizaje_residentes,personal_medico_etapa_aprendizaje_internos,personal_medico_etapa_aprendizaje_pasantes,personal_medico_total,personal_enfermeria_general,personal_enfermeria_especialista,personal_enfermeria_auxiliar,personal_enfermeria_pasante,personal_enfermeria_total,personal_paramedico_laboratorista,personal_paramedico_rayos_x,personal_paramedico_quimicos,personal_paramedico_trabajo_social,personal_paramedico_otros,personal_paramedico_total,personal_administrativo,personal_servicios_generales,personal_total
U_ISSSTE_79,CLIST000070,005-209-01,UMF Cd. Melchor Muzquiz,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
U_ISSSTE_80,CLIST000181,005-210-00,"CH Dra. Esperanza Flores Alvarado, Cd. Sabinas",11,4,2,1,2,2,3,0,0,1,3,7,0,0,0,36,28,4,6,0,38,4,3,2,0,13,22,33,15,144
U_ISSSTE_81,CLIST000111,005-211-00,CH San Pedro de las Colonias,14,6,5,2,6,3,7,0,0,3,2,4,0,0,0,52,38,8,8,0,54,5,5,1,1,17,29,33,19,187
U_ISSSTE_82,CLIST000041,005-211-01,UMF Francisco I. Madero,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,3
U_ISSSTE_83,CLIST000140,005-216-00,CMFEQ Torreón,28,0,0,5,2,2,2,0,0,3,8,2,0,0,0,52,8,3,7,0,18,4,3,3,0,12,22,21,1,114
U_ISSSTE_84,CLIST000053,005-216-01,UMF Matamoros,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,2,0,0,0,0,0,0,1,0,8
U_ISSSTE_85,CLIST000333,005-220-00,HG Saltillo,37,12,19,9,16,10,20,3,2,8,44,25,33,13,0,251,118,81,38,0,237,16,9,10,4,50,89,83,35,695
U_ISSSTE_86,CLIST000222,005-220-01,CAF General Cepeda,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2
U_ISSSTE_87,CLIST000275,005-220-02,CAF UH. FOVISSSTE Chapultepec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_88,CLIST000292,005-220-05,CAF UHF. Lomas del Bosque,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2
