id_unidad,clues,clave_presupuestal,nombre_corto,servicio_medicina_general,servicio_gineco_obstetria,servicio_pediatria,servicio_geriatria,servicio_oncologia,servicio_traumatologia_ortopedia,servicio_odontologia,servicio_urgencias,servicio_hemodialisis,servicio_hemodinamia,servicio_quimioterapia,servicio_banco_sangre,servicio_rayos_x,servicio_quirofano,servicio_farmacia
U_ISSSTE_80,CLIST000181,005-210-00,"CH Dra. Esperanza Flores Alvarado, Cd. Sabinas",Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí
U_ISSSTE_81,CLIST000111,005-211-00,CH San Pedro de las Colonias,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí
U_ISSSTE_82,CLIST000041,005-211-01,UMF Francisco I. Madero,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_83,CLIST000140,005-216-00,CMFEQ Torreón,Sí,No,No,No,No,Sí,Sí,No,No,No,No,No,Sí,Sí,Sí
U_ISSSTE_84,CLIST000053,005-216-01,UMF Matamoros,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_85,CLIST000333,005-220-00,HG Saltillo,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
U_ISSSTE_86,CLIST000222,005-220-01,CAF General Cepeda,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_87,CLIST000275,005-220-02,CAF UH. FOVISSSTE Chapultepec,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_88,CLIST000292,005-220-05,CAF UHF. Lomas del Bosque,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_89,CLIST000263,005-220-06,CAF Ramos Arizpe,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_90,CLIST000082,005-220-07,UMF Parras de la Fuente,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No
U_ISSSTE_91,CLIST000106,005-221-00,CMF Saltillo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_92,CMIST000010,006-204-00,"CH Dr. Miguel Trejo Ochoa, Colima",Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí
U_ISSSTE_93,CMIST000046,006-204-01,CAF Armería,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_94,CMIST000051,006-204-02,CAF Minatitlán,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_95,CMIST000034,006-204-03,UMF Tecomán,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_96,CMIST000022,006-205-00,CH Manzanillo,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí
U_ISSSTE_97,CSIST000251,007-204-00,"HG Dr. Belisario Domínguez, Tuxtla Gutiérrez.",No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí
U_ISSSTE_98,CSIST000210,007-205-00,"CH Dr. Roberto Nettel F., Tapachula",Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí
U_ISSSTE_99,CSIST000041,007-205-01,UMF Cacahoatán,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_100,CSIST000205,007-205-02,UMF Cd. Hidalgo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_101,CSIST000106,007-205-03,UMF Huixtla,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No
U_ISSSTE_102,CSIST000123,007-205-04,UMF Mapastepec,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_103,CSIST000135,007-205-05,UMF Motozintla de Mendoza,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_104,CSIST000012,007-205-06,UMF Acapetahua,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_105,CSIST000403,007-205-07,CAF Pijijiapan,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_106,CSIST000193,007-206-00,CH San Cristóbal de las Casas,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí
U_ISSSTE_107,CSIST000140,007-206-01,UMF Ocosingo,Sí,No,No,No,No,No,Sí,Sí,No,No,No,No,Sí,No,Sí
U_ISSSTE_108,CSIST000275,007-206-03,UMF Yajalón,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_109,CSIST000181,007-206-04,UMF Salto de Agua,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_110,CSIST000350,007-206-05,CAF Altamirano,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_111,CSIST000065,007-207-00,CH Comitán de Domínguez,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí
U_ISSSTE_112,CSIST000094,007-207-01,UMF Frontera Comalapa,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_113,CSIST000391,007-207-02,UMF Las Margaritas,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_114,CSIST000246,007-208-00,CMF Tuxtla Gutiérrez,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,Sí
U_ISSSTE_115,CSIST000024,007-208-01,UMF Arriaga,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No
U_ISSSTE_116,CSIST000036,007-208-02,UMF Bochil,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_117,CSIST000053,007-208-03,UMF Cintalapa de Figueroa,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_118,CSIST000070,007-208-05,UMF Copainalá,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_119,CSIST000082,007-208-06,UMF Chiapa de Corzo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_120,CSIST000111,007-208-08,UMF Jiquipilas,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_121,CSIST000152,007-208-09,UMF Ocozocoautla de Espinosa,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_122,CSIST000176,007-208-11,UMF Pichucalco,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_123,CSIST000222,007-208-16,UMF Tapilula,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_124,CSIST000234,007-208-17,UMF Tonalá,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_125,CSIST000304,007-208-18,CAF Venustiano Carranza,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_126,CSIST000263,007-208-20,UMF Villa Flores,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_127,CSIST000432,007-208-22,CMCT Palacio Federal (Tuxtla Gutiérrez),Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_128,CSIST000444,007-208-23,CMCT SAGARPA,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_129,CSIST000456,007-208-24,CMCT Bienestar,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_130,CSIST000461,007-208-25,CMCT SECH (SEF),Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_131,CSIST000321,007-208-26,CAF Reforma,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_132,CSIST000473,007-208-28,CAF UH. FOVISSSTE Paraíso,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_133,CSIST000420,007-208-30,CAF Simojovel,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_134,CSIST000362,007-208-32,CAF Berriozábal,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_135,CSIST000490,007-208-33,CAF Villa Corzo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_136,CSIST000514,007-211-00,CH Palenque ,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí
U_ISSSTE_137,CHIST000030,008-204-00,"HG Presidente Gral. Lázaro Cárdenas, Chihuahua",No,Sí,Sí,Sí,No,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí
U_ISSSTE_138,CHIST000310,008-204-01,CAF Dr. Belisario Domínguez,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_139,CHIST000182,008-204-04,CAF Villa Aldama,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_140,CHIST000153,008-204-08,UMF Ojinaga,Sí,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,Sí
U_ISSSTE_141,CHIST000112,008-205-00,HG Cd. Juárez,No,Sí,Sí,No,No,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí
U_ISSSTE_142,CHIST000515,008-206-00,CH Cd. Delicias,No,Sí,Sí,No,No,Sí,No,No,No,No,No,No,Sí,Sí,Sí
U_ISSSTE_143,CHIST000095,008-207-00,CH Hidalgo del Parral,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí
U_ISSSTE_144,CHIST000223,008-207-01,CAF Balleza,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_145,CHIST000334,008-207-03,CAF Guadalupe y Calvo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_146,CHIST000066,008-207-04,UMF Guachochi,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_147,CHIST000450,008-207-05,CAF San Francisco del Oro,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_148,CHIST000462,008-207-06,CAF Santa Bárbara,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_149,CHIST000194,008-207-07,CAF Valle de Allende,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_150,CHIST000491,008-207-08,CAF Valle de Zaragoza,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_151,CHIST000136,008-207-09,UMF Villa Matamoros,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_152,CHIST000100,008-207-13,UMF Cd. Jiménez,Sí,No,No,No,No,No,No,Sí,No,No,No,No,No,No,Sí
U_ISSSTE_153,CHIST000025,008-210-00,CH Cd. Cuauhtémoc,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí
U_ISSSTE_154,CHIST000474,008-210-01,CAF Bahuichivo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_155,CHIST000404,008-210-03,CAF El Terrero,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_156,CHIST000305,008-210-04,CAF Chínipas,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_157,CHIST000240,008-210-06,CAF San Juanito,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_158,CHIST000392,008-210-09,CAF Matachí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_159,CHIST000071,008-210-10,UMF Adolfo López Mateos (La Junta),Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_160,CHIST000083,008-210-11,UMF Cd. Guerrero,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_161,CHIST000124,008-210-13,UMF Madera,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_162,CHIST000346,008-210-16,CAF Tomochi,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_163,PENDIENTE,008-210-17,CAF Gómez Farias,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_164,CHIST000416,008-210-18,CAF Óscar Soto Maynez,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_165,CHIST000276,008-210-19,CAF Carichí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_166,CHIST000235,008-210-20,CAF Creel,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_167,CHIST000380,008-210-21,CAF El Largo Maderal,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_168,CHIST000486,008-210-23,CAF San Rafael Urique,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_169,CHIST000520,008-210-25,CAF Témoris,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_170,CHIST000363,008-211-00,CMF Cd. Juárez,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,Sí
U_ISSSTE_171,CHIST000211,008-211-01,CAF Ascensión,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_172,CHIST000445,008-211-03,CAF Praxedis G. Guerrero,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_173,CHIST000206,008-211-04,CAF Gral. Rodrigo M. Quevedo (Palomas),Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_174,CHIST000141,008-211-05,UMF Nuevo Casas Grandes,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_175,CHIST000170,008-211-06,CAF Villa Ahumada,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_176,CHIST000264,008-211-07,CAF Ricardo Flores Magón,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_177,CHIST000252,008-211-08,CAF Valle de San Buenaventura,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_178,CHIST000351,008-211-09,CAF Ignacio Zaragoza,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_179,CHIST000054,008-213-00,CMF Cd. Delicias,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_180,CHIST000165,008-213-02,UMF Saucillo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_181,CHIST000013,008-213-03,UMF Cd. Camargo,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_182,CHIST000293,008-217-00,CMF Chihuahua,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,Sí
U_ISSSTE_183,DGIST000042,010-204-00,"HG Dr. Santiago Ramon y Cajal, Dgo.",No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
U_ISSSTE_184,DGIST000346,010-205-00,CMF Cd. Lerdo,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,Sí
U_ISSSTE_185,DGIST000054,010-206-00,CH Gómez Palacio,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí
U_ISSSTE_186,DGIST000025,010-206-01,UMF Cuencamé,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_187,DGIST000136,010-206-03,UMF Rodeo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_188,DGIST000100,010-206-05,UMF Las Nieves,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_189,DGIST000071,010-206-06,UMF Mapimí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_190,DGIST000083,010-206-07,UMF Paso Nacional,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_191,DGIST000380,010-206-08,CAF Peñón Blanco,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_192,DGIST000416,010-206-09,CAF San Juan de Guadalupe,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_193,DGIST000112,010-206-10,UMF Santa María del Oro,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_194,DGIST000170,010-206-11,UMF Tlahualilo de Zaragoza,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_195,DGIST000363,010-206-12,CAF Cd. Juárez,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_196,DGIST000404,010-206-13,CAF Santa Clara,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_197,DGIST000351,010-206-14,CAF Bermejillo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_198,DGIST000433,010-206-15,CAF General Simón Bolívar,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_199,DGIST000450,010-206-16,CAF San Bernardo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_200,DGIST000030,010-207-00,CMF Durango,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,Sí
U_ISSSTE_201,DGIST000013,010-207-01,UMF Canatlán de las Manzanas,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_202,DGIST000206,010-207-02,CAF Canelas,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_203,DGIST000124,010-207-03,UMF El Salto,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_204,DGIST000223,010-207-04,CAF Francisco I. Madero,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_205,DGIST000066,010-207-05,UMF Guadalupe Victoria,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_206,DGIST000235,010-207-06,CAF Guanaceví,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_207,DGIST000445,010-207-07,UMF José Guadalupe Aguilera,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_208,DGIST000095,010-207-08,UMF Nombre de Dios,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_209,DGIST000194,010-207-09,UMF Nuevo Ideal,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_210,DGIST000141,010-207-10,UMF San Juan del Río,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_211,DGIST000281,010-207-11,CAF San Lucas de Ocampo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_212,DGIST000153,010-207-12,UMF Santiago Papasquíaro,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_213,DGIST000293,010-207-13,CAF Súchil,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_214,DGIST000305,010-207-14,CAF Tamazula de Victoria,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_215,DGIST000310,010-207-15,CAF Tayoltita,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_216,DGIST000165,010-207-16,UMF Tepehuanes,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_217,DGIST000322,010-207-17,CAF Topia,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_218,DGIST000182,010-207-18,UMF Vicente Guerrero,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_219,DGIST000334,010-207-19,UMF Villa Unión,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_220,DGIST000240,010-207-26,CAF Los Remedios,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_221,DGIST000252,010-207-29,CAF El Mezquital,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_222,GTIST000086,011-204-00,CH Irapuato,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí
U_ISSSTE_223,GTIST000016,011-204-01,UMF Abasolo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_224,GTIST000260,011-204-02,CAF Cuerámaro,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_225,GTIST000103,011-204-03,UMF Moroleón,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_226,GTIST000115,011-204-04,UMF Pénjamo,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_227,GTIST000185,011-204-05,UMF Uriangato,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_228,GTIST000190,011-204-06,UMF Valle de Santiago,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_229,GTIST000202,011-204-07,UMF Yuriria,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_230,GTIST000243,011-204-08,UMF Cd. Manuel Doblado,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_231,GTIST000313,011-204-09,CAF Romita,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_232,GTIST000144,011-204-10,UMF San Francisco del Rincón,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_233,GTIST000325,011-205-00,CMF Salamanca,Sí,Sí,Sí,No,No,No,Sí,Sí,No,No,No,No,Sí,No,Sí
U_ISSSTE_234,GTIST000074,011-206-00,"CH Guanajuato, Gto.",Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí
U_ISSSTE_235,GTIST000062,011-206-01,UMF Dolores Hidalgo,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_236,GTIST000330,011-206-02,CAF San Diego de la Unión,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_237,GTIST000161,011-206-03,UMF San Luís de La Paz,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_238,GTIST000156,011-206-04,UMF San José Iturbide,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_239,GTIST000383,011-206-05,CAF Tierra Blanca,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_240,GTIST000395,011-206-06,UMF Villa Victoria,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_241,GTIST000272,011-206-07,CAF Dr. Mora,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_242,GTIST000412,011-206-08,CAF Xichú,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_243,GTIST000301,011-206-09,CAF Ocampo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_244,GTIST000132,011-206-10,UMF San Felipe Torres Mochas,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_245,GTIST000173,011-206-11,UMF Silao,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No
U_ISSSTE_246,GTIST000045,011-207-00,CH Celaya,Sí,Sí,Sí,No,No,Sí,Sí,No,No,No,No,Sí,Sí,Sí,Sí
U_ISSSTE_247,GTIST000021,011-207-01,UMF Acámbaro,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_248,GTIST000214,011-207-02,UMF Apaseo el Alto,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_249,GTIST000226,011-207-03,UMF Apaseo el Grande,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_250,GTIST000255,011-207-04,UMF Comonfort,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_251,GTIST000050,011-207-05,UMF Cortázar,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_252,GTIST000284,011-207-06,CAF Jaral del Progreso,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_253,GTIST000296,011-207-07,CAF Jerécuaro,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_254,GTIST000342,011-207-08,UMF Juventino Rosas,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_255,GTIST000231,011-207-09,CAF Roque,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_256,GTIST000120,011-207-10,UMF Salvatierra,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_257,GTIST000033,011-207-11,UMF San Miguel de Allende,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_258,GTIST000354,011-207-12,CAF Santiago Maravatío,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_259,GTIST000366,011-207-13,CAF Tarandacuao,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_260,GTIST000371,011-207-14,CAF Tarimoro,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_261,GTIST000400,011-207-15,UMF Villagrán,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_262,GTIST000423,011-209-00,CMFEQ León,Sí,Sí,Sí,No,No,No,Sí,No,No,No,No,No,No,Sí,Sí
U_ISSSTE_263,GRIST000112,012-205-00,CH Chilpancingo de los Bravo,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí
U_ISSSTE_264,GRIST000100,012-205-01,UMF Chilapa de Álvarez,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_265,GRIST000450,012-205-02,UMF Mochitlán,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_266,GRIST000124,012-205-03,UMF El Ocotito,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_267,GRIST000182,012-205-04,UMF Olinalá,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_268,GRIST000170,012-205-05,UMF Tierra Colorada,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_269,GRIST000281,012-205-06,UMF Tixtla de Guerrero,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_270,GRIST000136,012-205-09,UMF Huamuxtitlán,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_271,GRIST000433,012-205-10,CAF Malinaltepec,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_272,GRIST000503,012-205-13,CAF Iliatenco,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_273,GRIST000153,012-206-00,CH Iguala de la Independencia,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí
