id_unidad,clues,clave_presupuestal,nombre_corto,servicio_medicina_general,servicio_gineco_obstetria,servicio_pediatria,servicio_geriatria,servicio_oncologia,servicio_traumatologia_ortopedia,servicio_odontologia,servicio_urgencias,servicio_hemodialisis,servicio_hemodinamia,servicio_quimioterapia,servicio_banco_sangre,servicio_rayos_x,servicio_quirofano,servicio_farmacia
U_ISSSTE_814,SRIST000360,026-212-10,CAF Mazatán,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_815,SRIST000425,026-212-11,CAF Huépac,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_816,SRIST000174,026-215-00,CH Nogales,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí
U_ISSSTE_817,SRIST000034,026-215-01,UMF Caborca,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No
U_ISSSTE_818,SRIST000244,026-215-02,CAF Cd. Magdalena de Kino,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_819,SRIST000215,026-215-03,UMF Santa Ana,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_820,SRIST000355,026-215-04,CAF Imuris,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_821,SRIST000010,026-215-06,UMF Agua Prieta,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_822,SRIST000063,026-215-09,UMF Cananea,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_823,TCIST000273,027-204-00,HG Villahermosa,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí
U_ISSSTE_824,TCIST000034,027-205-00,CMF Cárdenas,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,Sí
U_ISSSTE_825,TCIST000186,027-206-00,"CMF Casablanca, Villahermosa",Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,Sí
U_ISSSTE_826,TCIST000010,027-206-01,UMF Balancán de Domínguez,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_827,TCIST000075,027-206-02,UMF Comalcalco,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_828,TCIST000080,027-206-03,UMF Cunduacán,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_829,TCIST000092,027-206-04,UMF Emiliano Zapata,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_830,TCIST000051,027-206-05,UMF Frontera Centla,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_831,TCIST000104,027-206-06,UMF Huimanguillo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_832,TCIST000116,027-206-07,UMF Jalpa de Méndez,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_833,TCIST000121,027-206-08,UMF Macuspana,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_834,TCIST000145,027-206-09,UMF Paraíso,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
