id_unidad,clues,clave_presupuestal,situacion_juridica_inmueble,estatus_operativo,nombre_oficial,nombre_corto,nombre_unidad,tipo_unidad,sigla_tipo,nivel_atencion,atiende_nivel_adicional,institucion,entidad,municipio,subdelegacion,tipo_vialidad,nombre_vialidad,numero_exterior,numero_interior,tipo_asentamiento,nombre_asentamiento,codigo_postal,direccion_completa,latitud,longitud,coordenadas_validadas,fuente_coordenada,Observaciones
U_ISSSTE_22,BCIST000146,002-208-00,Propia,En Operación,Clínica de Medicina Familiar Mesa de Otay,CMF Mesa de Otay,Mesa de Otay,Clínica de Medicina Familiar,CMF,Primer Nivel,No Aplica,ISSSTE,Baja California,Tijuana,Baja California,Calle,Felipe Villanueva,247,,Fraccionamiento,Nueva Tijuana,22435,"Calle Felipe Villanueva 247, Fraccionamiento Nueva Tijuana, Tijuana, Baja California, CP. 22435",32.54630751974107,-116.93376531226193,Validada,Anuario Estadístico 2025,
U_ISSSTE_23,BCIST000093,002-209-00,Propia,En Operación,"Hospital General Fray Junípero Serra, Tijuana","HG Fray Junípero Serra, Tijuana","Fray Junípero Serra, Tijuana",Hospital General,HG,Segundo Nivel,No Aplica,ISSSTE,Baja California,Tijuana,Baja California,Avenida,Las Palmas,4141,,Fraccionamiento,Las Palmas,22106,"Avenida Las Palmas 4141, Fraccionamiento Las Palmas, Tijuana, Baja California, CP. 22106",32.5082971726901,-116.98514214202282,Validada,Anuario Estadístico 2025,
U_ISSSTE_24,BCIST000134,002-209-01,Subrogada,En Operación,Consultorio de Atención Familiar Rosarito,CAF Rosarito,Rosarito,Consultorio de Atención Familiar,CAF,Primer Nivel,No Aplica,ISSSTE,Baja California,Tijuana,Baja California,Calle,Mexicali,24,,Colonia,Predios Urbanos,22710,"Calle Mexicali 24, Colonia Predios Urbanos, Tijuana, Baja California, CP. 22710",32.35925887812804,-117.06363772700736,Validada,Anuario Estadístico 2025,
U_ISSSTE_25,BCIST000081,002-209-02,Propia,En Operación,Unidad de Medicina Familiar Tecate,UMF Tecate,Tecate,Unidad de Medicina Familiar,UMF,Primer Nivel,No Aplica,ISSSTE,Baja California,Tecate,Baja California,Avenida,Misión de Mulegé,S/N,,Colonia,El Descanso,21478,"Avenida Misión de Mulegé S/N, Colonia El Descanso, Tecate, Baja California, CP. 21478",32.56949980174383,-116.60586201342817,Validada,Anuario Estadístico 2025,
U_ISSSTE_26,BSIST000014,003-205-00,Propia,En Operación,Clínica Hospital Cd. Constitución,CH Cd. Constitución,Cd. Constitución,Clínica Hospital,CH,Segundo Nivel,Primer Nivel,ISSSTE,Baja California Sur,Comondú,Baja California Sur,Calle,Niños Heroes,601,,Colonia,Pueblo Nuevo,23670,"Calle Niños Heroes 601, Colonia Pueblo Nuevo, Comondú, Baja California Sur, CP. 23670",25.03414141393358,-111.64613535888927,Validada,Anuario Estadístico 2025,
U_ISSSTE_27,BSIST000113,003-205-01,Propia,En Operación,Unidad de Medicina Familiar Loreto,UMF Loreto,Loreto,Unidad de Medicina Familiar,UMF,Primer Nivel,No Aplica,ISSSTE,Baja California Sur,Loreto,Baja California Sur,Calle,Nicolás Tamaral,S/N,,Colonia,Centro,23880,"Calle Nicolás Tamaral S/N, Colonia Centro, Loreto, Baja California Sur, CP. 23880",26.0084811798532,-111.35342554110136,Validada,Anuario Estadístico 2025,
U_ISSSTE_28,BSIST000130,003-205-02,Subrogada,En Operación,Consultorio de Atención Familiar Puerto Adolfo López Mateos,CAF Puerto Adolfo López Mateos,Puerto Adolfo López Mateos,Consultorio de Atención Familiar,CAF,Primer Nivel,No Aplica,ISSSTE,Baja California Sur,Comondú,Baja California Sur,Calle,Lerdo de Tejada,S/N,,Colonia,Centro,23710,"Calle Lerdo de Tejada S/N, Colonia Centro, Comondú, Baja California Sur, CP. 23710",25.191207002613982,-112.11100119944591,Solicitar Validación,Anuario Estadístico 2025,Google Maps no disponible en la zona
U_ISSSTE_29,BSIST000031,003-205-03,Propia,En Operación,Unidad de Medicina Familiar Puerto San Carlos,UMF Puerto San Carlos,Puerto San Carlos,Unidad de Medicina Familiar,UMF,Primer Nivel,No Aplica,ISSSTE,Baja California Sur,Comondú,Baja California Sur,Calle,Puerto Adolfo López Mateos,186,,Polígono,Número 1,23740,"Calle Puerto Adolfo López Mateos 186, Polígono Número 1, Comondú, Baja California Sur, CP. 23740",24.785252082320532,-112.0980097638015,Validada,Anuario Estadístico 2025,
U_ISSSTE_30,BSIST000166,003-205-04,Subrogada,En Operación,Consultorio de Atención Familiar San Isidro,CAF San Isidro,San Isidro,Consultorio de Atención Familiar,CAF,Primer Nivel,No Aplica,ISSSTE,Baja California Sur,Comondú,Baja California Sur,Calle,Año de Juárez,S/N,,Localidad,San Isidro,23810,"Calle Año de Juárez S/N, Localidad San Isidro, Comondú, Baja California Sur, CP. 23810",26.20455465347645,-112.0441069053337,Solicitar Validación,Anuario Estadístico 2025,Las coordenadas llevan a un IMSS Bienestar. Google Maps no disponible en la zona
U_ISSSTE_31,BSIST000142,003-205-05,Subrogada,En Operación,Consultorio de Atención Familiar San José de Comondú,CAF San José de Comondú,San José de Comondú,Consultorio de Atención Familiar,CAF,Primer Nivel,No Aplica,ISSSTE,Baja California Sur,Comondú,Baja California Sur,Calle,San José de Comondú,S/N,,Colonia,Centro,23820,"Calle San José de Comondú S/N, Colonia Centro, Comondú, Baja California Sur, CP. 23820",26.058667751383553,-111.82369593143295,Solicitar Validación,Anuario Estadístico 2025,Se utilizaron las coordenadas del centro de la localidad debido a la falta de datos precisos
